text,Score
i still haven t gotten a refund of my n failed recharge of th of this month i was debited for a,negative
c mon you can do better than this make a referral and place him on probation and supervi,neutral
check your dm,neutral
my friend tola lost all her stored goods and shop in the balogun fire please your little token will help her bounce,neutral
look citibank is not only insolvent it s a basically a financial fraud organization we should take it over it d,negative
thanks for your prompt action the failed transaction of n on,neutral
introducing our newest brand ambassador ayodeji balogun the one amp only starboy aka welcome to the tribe wizl,neutral
i just recharge my gotv subscription of via your mobile banking app and i have bee,neutral
don t be a victim be wary of unusually friendly faces at atm points don t accept transfers from strangers asking you to,neutral
thank you it has being resolved,positive 
join us on this adventure by following ubaxuclfinal and watch this space for more updates from our customers in madrid madr,neutral
ebuka are you still experiencing the same thing,neutral
remember this has nothing to do with brexit also nothing to do with brexit sony dyson flybmi jaguar land rover,neutral
fct is becoming increasingly more dangerous minutes i spent at area atm last night was enough time for my car t,negative
seems that s what i will do oo make i go craze for them,negative
i bought airtime since yesterday i ve been debited but i ve not seen the airtime i bought,negative
think ahead open a zenith bank savingsaccount today,neutral
dm that s locked and no response yet to my tweet two it s over hours i send mone,neutral
good morning ancient of days bank aka kolo bank i woke up with a msg from you people wishing me a happ,negative
has finished me meant to pay for an item since friday did a transfer not successful i was gi,negative
kindly help till gives me a trial i believe i can do better as i ve had a fair knowledge of the,neutral
please we need your help this can happen to any her goods of over million got burnt at the balogun market today,neutral
check out my ankara street wears kindly someone might need this odunlade nysc lagos iphone ycee nigerians buhar,neutral
i just made a transaction through my diamond bank app i tried paying for my dstv sub and i was debite,neutral
justiceforadetutu justicefortutu are been quiet about the murder of one of their akure staff miss adetutu,negative
pls process the auto reversal,neutral
as a young man fresh out of school amp a branch manager at the time i told myself i must succeed amp that s been my driving fo,neutral
now when it comes to exploiting i speak out i m not a sissy like some people that been sai,neutral
this is the kind of news i like to hear yesterday as an institution of many firsts in partnered wi,neutral
access bank is cool like the person behind their social media page is a pro,neutral
massshooting in odessa texas brought to you by nraownsgop and massacremitch who refuses to bring common sense gun re,neutral
we have upgraded the zenith mobile app you can download or upgrade the app from the ios and android stores,neutral
thank you,positive 
we my colleague and i couldn t login our mobile banking app it keeps saying password error and,negative
paid in money at the counter today but the person got a shortage of what happ,negative
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
absolutely right i opened my first bank account with am still using the account even after,neutral
say hello to the beautiful ladies at stylebyzenith,neutral
bohdan s polny alias bo polny doesn t like to use his real name because his real name is associated with f,neutral
abeg some sent money for from quick teller the person was debited and i was not credited,negative
it s a shame i m going to have to cancel the card i ve had with you for over years because customer se,negative
twitter i really need your help i need k to win this nk giveaway from mazi ibe i really need,neutral
speak to our consultants now on or send an email to stockbroking com to subscribe to the june offe,neutral
you are not alone they won t even reply your dm i m experiencing same issue sent money s,negative
don t be into trends don t make fashion own you but you decide what you are what you want to express by the way you dress a,neutral
need a quick loan you can request for quickcredit instantly by dialling quick credit is also available on all gt,neutral
your mind can do more amazing things than you realise can you read this translate and let the fun continue ub,neutral
thowback ty bello addressing attendees at the we want the youths to know event powered by zenith bank csr wwtytk wee,neutral
oh about trump s hiring firing of whomever here is post from which detail,neutral
opening an account with just got alot easier with zenithaccountwithzeronaira,neutral
citibank ibm partner with government backed blockchain accelerator,neutral
prominent shoppers and money spenders from different countries will be at the ubamarketplace fair this is your opport,neutral
this people don do u strong thing gan o,negative
i dm you my proof and you guys are giving me excuses me go collect my money because i know give yo,negative
i transferred money to my mutual fund since on friday last week and am yet to be funded or at least ge,negative
retaliating against south africa s xenophobia attacks by attacking and looting places us on the same animalistic pedestal a,neutral
update your bvn today via these channels,neutral
i believe in omash,neutral
the way i defend and assure people that they will resolve their problem you will think i am segun agbaje o,positive 
hi please follow me so i can send you a dm i m having issues with my account,negative
how will i update my email in my account is necessary,neutral
the most awaited voicetofame reality show showing on from the th of july is proudly sponsored by,neutral
i had done my home work and found out no single reason why emefiele changed the policy than to enrich interswitch,neutral
thank you we will not stop till we get more answers,neutral
do you want free vvip tickets to the redtvrave comment your answer and tag someone you would love to go with winner,neutral
it s a pity i won t be there,neutral
is that the reason you blocked him from accessing your dm,neutral
it s ubaat giveaway amp we re giving out ubaprepaidcards pre loaded with cash gift bags airtime amp data to win pick a,neutral
the least you people could have done was to notify us and get us prepared about the network upgrad,negative
ahhh do u people know how urgently this money is needed pls do i nw i need my money back this is inconveniences ooooo,negative
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
answer this question and get free n airtime which of our platforms did he use for the transfer a internet banking b,neutral
this is ridiculous that one of the leading bank is unable to do anything to help their con,negative
epstien epstien s surgeon epstien s banker all dead,negative
and some of their staff lack manner of approach,negative
i sent n over hours ago and the recipient is yet to receive the money even though i have been debited,negative
good morning i tried to recharge my account yesterrday i was debited but recharge wasn t succes,negative
been a victim but a whole different scenario customer opted for bank transfer did the transfer and eventually said he didn,neutral
hehehe pray make gtbank do us good make we flex,neutral
what s wrong with first bank i sent money to a friend since yesterday i ve been debited and the be,negative
i invested in treasury bill after three months only my principal was paid into my account but the int,neutral
i just made a failed transaction on first mobile i wasn t debited but i was still charged fip charge why,negative
help out or please,neutral
what is happening to access diamond mobile app no network from morning till now,negative
please can i open account with access bank without going to the bank,neutral
lol see you you think i forgot something abii shaa take it easy with them slowly cathee a monkey,neutral
owhale bigger you i pray gtbank i pray ur fone no off for my turn zanku to the world,neutral
gtbank handler is sleeping,negative
stylebyzenith i m very serious biko make una no fall my hand oh,neutral
good morning u b a i have an enquiry to make may i change or update my b v n phone number must it be a,neutral
twitter please this one is on us peter is losing his sights by the day he needs n to temporarily sustain his sight,neutral
when will this bank wahala ever end,negative
when you have at your door step,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
bob rubin former sec of treasury chair of goldman sachs and co chair at citibank was likely a member of the team th,neutral
wonder wonder is the first track of self titled debut album this song and album served as introduction of femi s,neutral
not sure what to expect we re happy to share the agenda for the exhibition area for the next days see you all a,neutral
ecobank group gceo was awarded honorary fellow of the chartered institute of bankers of nigeria yesterday,neutral
i m trying to buy presale tickets but the code indicated isn t working,neutral
hyy guys i will be doing an animation clip for here s a few frames in the clip hope you would love to w,neutral
great i thought it was just me alone that can t dm access bank help,negative
details sent to your dm,neutral
how much of history do you remember first to hit likes with the correct answer wins n airtime top up turn o,neutral
months ago in life camp by am a man suddenly jumped in front of my car holding a club his intention was that i woul,neutral
good evening please i use my first bank card to withdraw on your machine i was debited without paying me,negative
senegal ethiopia mozambique angola we are still on the move and counting down to the final lap of our sea,neutral
you guys need to stop this bad habit of giving someone debit alerts early in the morning are u trying to kill me before my time,negative
abeg check your dm i sent a complain,negative
i have decided to report to cbn i am tired who knows the email address,negative
im shy but photographed these,neutral
i joined twitter today in the hope you will refund my money which was debited from my account on the,negative
please how can i revert from the current account that i m on xtra account to a normal account,neutral
i m tired my self,negative
zenithbank chatroomthemovie zenithbank chatroomthemovie zenithbank chatroomthemovie zenithbank chatroomthemovie,neutral
waaaaiiiitttt what ladies and gentlemen shall we,neutral
a vision is birthed in an isolated bank crystal bank ltd was acquired by a young banker amp renamed stand,neutral
yeah i know and tried online the rate beats the ren moneys etc me i have ported and,negative
have done that,neutral
i d love to inform you about how a fraudulent transaction was made out out of my account i will b,negative
i made a transfer to a zenith bank account on saturday and i was debited but the supposed receiver ha,negative
what about a dollar account,neutral
for mammals cheetah for land animals hummingbird,neutral
hustle legit oooo make efcc eagle or fbi no use you as scapegoat for venturing into fraudulent activities most importantly,neutral
where is my gtbank,neutral
i guess they are having end of month cut off issues,negative
i m stranded and i need to do transactions the person transferred in my presence and i saw the su,negative
correct you know right,neutral
my dad paid for his premium dual view on the th of september via internet banking he was cut,neutral
join chairman of the board at and former head commercial banking amp public sector at s,neutral
what do you want for christmas leo is rewarding loyal customers with christmas presents here s how to win with,neutral
game time who s your favorite uba staff this customerserviceweek we d like to appreciate staff who ve provided excellen,neutral
i ve sent a dm with my account number please,neutral
pls what does it require to get my bank statement stamped and sent to my email while i m out of the country,neutral
congratulations bro you ve got this,positive 
please what is wrong with the ussd code i have been trying to send some amount since morning but i m unable,negative
me too i was debited today and didn t got the money through a pos machine was saying transac,negative
hey guys please donate to s cause of fighting cancer in children lofn,neutral
end of first quarter for semi final dolphins lead with points dolphins,neutral
i know gtbank branches with disability access never in the front tho,neutral
pls my account debited igbo efon i didn t initiate the transaction pls look into this,neutral
their website,neutral
oh ye incorporated fraudsters you never reverse my stolen fund since april is this,negative
you re welcome,neutral
boss me i dey available gtbank jus k tomorrow morning feeding morning eshe,neutral
toni always dripping,neutral
please respond to ur dm what s going na,negative
venezuelan state funds seized by international banks bank of england million citibank million clearstream,neutral
on your birthday you showed highest level of patriotism we always like to see nigerians having nigeria in their minds,neutral
congrats to for becoming one of the worst bank customer care agents are confused with complaints that they,negative
on a fateful day reached out to us about the plight of the ruga community in katampe abuja we were touche,neutral
ramadan has come to an end we hope all prayers are answered and all fasts are accepted here s wishing all our musl,neutral
he has been doing that and nothing yet,neutral
months ago in life camp by am a man suddenly jumped in front of my car holding a club his intention was that i woul,neutral
dear first band please check and reply your dm,neutral
a win for nigeria,neutral
cant this said statement of account be sent to ones email if he wants to use it,neutral
try send k to access bank it won t fail,positive 
kindly look into this as it s urgent for me thank you,neutral
i have been debited k for over weeks and nothing is been done and the money has not been refund,negative
if you refuse to migrate my acct please let me withdraw my money,negative
this is my mum she is suffering from cancer of the breast and she has been placed on chemotherapy but we can t afford,neutral
please oh i don t want trouble after u people will say i ve come oh why did a mobile bank fai,negative
please can someone recommend a good bank for me other than please i need to move my money out of ac,negative
show up in style at the style by zenith lifestyle fair don t forget to bring your friends date nov dec st,neutral
wow i m so sorry for your loss brother,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controv,neutral
move your bank,negative
it s black friday cantstopwontstop withyoualltheway,neutral
gtbank badcommando please make me smile sir,neutral
would you rather win n million in the ubawisesavers promo or a summer vacation with africasglobalbank,neutral
thank you for bringing to our remembrance that our nigerian fabrics can be used to do a lot ranging f,neutral
throwback to the secure lagos hackathon in aimed at enhancing security in lagos state using tech the hackath,neutral
i have the same issue too,negative
either way young man the tagging aspect is wrong what goes around comes around,neutral
answer this question with a word without saying yes yeah yep or yup do you want to win n million when we hit,neutral
i can t just believe i m yet to receive my debit card despite the fact i ve been debited for it sin,negative
unfortunately i couldn t get get message from you on dm but i sent you one,neutral
dear your bank debited the sum of ngn from my mums account this money was paid in by a customer via pos for,neutral
some of the final products from s south east regional competition in enugu our future lies in our skil,neutral
hi we are sorry to learn about this please send your account number transaction details first,neutral
i was recently debited for a pos transaction at cms marina and at a gtbank at odun ade i reported the inc,negative
years is a beautiful platinum milestone age and we ve received so many hearty cheers from you you can tweet your hearty,neutral
so i m not first my account have been debited twice from an unknown source but i don t get any explanation or refund,negative
i am getting frustrated by how my issue is been handled i was asked to send dm i did i got anot,negative
i have been calling your customer care line to report a failed transaction but no one,negative
after pemex presented its business plan citibank says that a rating downgrade for the company and for mexico s sovereign debt,neutral
when is gtbank shooting the video for their quick credit song i want to be in it o correct jam,neutral
adefunke citibank nigeria limited recruitment for graduate tellers bsc ba degree nysc certificate of completion is mandatory minim,neutral
check ur dm,neutral
it is one thing to be a graduate it is another thing to serve your country but you see this naija wey we they so if you h,neutral
please i need assistance dm thank you,neutral
teacher protector playmate mentor friend adviser in chief this is who the ideal father should be this is what i want,neutral
different experience to different people imagine only,neutral
hello we re sorry about this complaint please let s talk via accessbank help dm with your,neutral
god will not allow us fight on a sunday morning ooo,negative
to my ilorin folks please stay safe there s an ongoing robbery at gtbank and access bank of tanke junction,negative
experience distinct digital sounds as you surf your high end smartphones samsung ear buds for n apple airpod f,neutral
nice zbaspiremusicfest,positive 
the future of fashion will be sketched by a new generation of african designers will you be one here is an opportunity to tu,neutral
hello please i need a very low interest rate loan of m naira to buy toyota corolla model to use for taxi,neutral
see this people too on my own personal sim me wey no like gtb i no g,neutral
this is so false,negative
the bank that keeps on giving how would you like to win a super stylish firstbank th anniversary ankara today,neutral
electric shock alert i had an electric shock on united bank for africa uba atm wuse ii abuja yesterday,negative
it s almost am and gtbank is sending me debit alerts for transactions made days ago don t kill me biko,negative
hello i was credited with and i have not gotten an alert please see screenshot below name christop,negative
go to their head office,neutral
u better come and see o never using ur bank again i m fed up every time u keep debiting me,negative
dear did i offend you,neutral
is bae never had any reason to complain of the services rendered it s been top notch keep it up,positive 
you are well appreciated for your benevolent gestures i will like to be reached to,positive 
liveposting cross section of participants at glocalization and branding summit lagos,neutral
um is the pedophile elite okay,neutral
kindly help till gives me a trial i believe i can do better as i ve had a fair knowledge of the,neutral
breaking news the competition authority of kenya has approved the acquisition of of transnational bank s shares b,neutral
and mine happened since the th of june which was on a friday despite all the calls emails,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
dear i trekked to work today because of your ineptitudes yet nothing has been done to it i beg,negative
it is more than hours still no k reversal una self sabi these buhari times,negative
is there a reason ngn was debited from my account or you people just want to annoy me this evening,negative
remember this has nothing to do with brexit also nothing to do with brexit sony dyson flybmi jaguar land rover,neutral
before you do the next thing cc,neutral
i ve lost count of how many times you guys embarrassed or stressed me,negative
because i couldn t i m contracting you to confirm if that s a new policy in accessbank i ve been banking with you guys y,neutral
that kind feeling is d best,neutral
shey i will not start piggy bank bayi,negative
you deduct too much now my account is showing,negative
i nominate an ngo doing so well to help the less privileged children in getting back to school a,neutral
thank you,positive 
never see a dead bank like apata branch banking has left you guys far behind,negative
please check your dm,neutral
banks cos no deposits on the weekends,neutral
do everything with leo do everything with united bank for africa,positive 
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
calling customer care service but no response just burning my airtime seems the merger isn t go,negative
ibara branch make una dey expect visitor o,negative
is there an issue with the corporate banking i have been trying to log in this morning and get the fo,negative
they are still transitioning,negative
all i want is my money account number no b bvn,negative
thank you,positive 
can i get a reply please,neutral
today we shot the final episode of the first season of the money show it s a great feeling when you start a show with,neutral
pls what is up with ur mobile app been trying to do a transfer for over an hour now i didn t,negative
this is my mum she is suffering from cancer of the breast and she has been placed on chemotherapy but we can t afford,neutral
i have been calling your customer service line for almost mins no one is responding yet its not,negative
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
dear august born we are appreciating you this month to win follow us this image amp comment your birthday with uba,neutral
thanks anyway after several complaints,neutral
so sorry about your shop tola please if you feel you re led to donate to her ogundimu omotolani brown gtbank,neutral
hey someone needs a job in urgently if you find s effort ir,neutral
i got this from and i replied thank you o,positive 
i don t really understand why most of the time this is all i get from using your app its really frustrat,negative
i can t dm you as there is a restriction from your end,negative
i know someone currently on s net over something related to this guy s be careful out there good awarene,negative
parents have nothing to worry about brings to you fcmbbacktoschool offers where you can access instant loans in,neutral
the time frame has elapsed it is now days despite all the calls mails and tweets interswitc,neutral
summer time is also play time time to shop till you drop with the visa gold card shopping has be,neutral
five of the players who made the golden eaglets final cut in brazil are from future eagles project for,neutral
do everything with leo do everything with united bank for africa,positive 
hey adewale please over to dm with the transaction details so we can run a check,neutral
when it s ajar,neutral
is your atm card stolen or missing block all debit transactions on your card by instantly dialing on any avai,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
h e launched a nb funding capital for women entrepreneurs under winitiative september,neutral
accessbank help sent you a dm please check,neutral
already done thank you,positive 
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
uba am an unkwon artist assist me please,neutral
good day please can l with immediate effect opt out of your access xclusive plus please send th,neutral
stylebyzenith kicks off on nov th amp ends on dec at the eko energy city by eko atlantic ahmadi bello,neutral
a new uba is born today s uba is an amalgamation of old stb amp uba a fusion of legacy strength and dynamism agility and,neutral
thank you a family member worked in an islamic bank on the product side and told me the same decades ago but even,positive 
does your recharge options have problems at midnight i just recharged got debited but didn t get the recharge,negative
i promised them of a good turnover both on business and pos business,neutral
report in the punch on how much nigerian banks made from maintainance fee charged customers for maintaining their a,neutral
this frustration is too much from you people please intervene,negative
now is the best time to build a beautiful future for your little humans follow us let s make it a forward match,neutral
wizkid said have this streaming app that i am about to launch right now we ve been working on that for a while in colla,neutral
prepare for judgement day,neutral
i have a problem with your bank since th of last month that i made a withdrawal of twice and i was d,negative
it s better because i m ready to close my account,negative
do you people give out schorlarship at all,neutral
what are the conditions to be met to obtain a pos machine from your bank,neutral
dear you created a wrong credit card statement i am trying to reach you at no one responding altho,neutral
to celebrate this week s head of house in bbnaija the hms will organise a coronation ceremony themed after the ti,neutral
answer this question with a word without saying yes yeah yep or yup do you want to win n million when we hit,neutral
so we don t deserve gift card too abi well i don t want this kind of gift card ooo either amazon,neutral
please i need help i am trying to reach you guys but no one is picking up i had a failed airtime top up,negative
for how long do i have to wait now,negative
when are you announcing the winners,neutral
check out app you can download the app and begi,neutral
they have scammed you too welcome to the would of delayed or no respons,negative
this is over months and you guys have refused to refund the failed n airtime i bought via your mobile app,negative
is not a responsive bank can you guys just attend to ur dm for heaven s sake jesus,negative
stop imagining because it is possible just get your naira mastercard from and eliminate the need for,neutral
please i m really in need of this if you have large number of audience on whatsapp and any other social app and yo,neutral
please i want to know the status of this account account name chiogbonda innocent account number,neutral
thatuxguy hey big head i ve been toying with an idea that ll make all customers feel like premium customers y,neutral
you only responded on d new failed transactions which occurred yesterday what about d one i repor,negative
to get a chance to exhibit your produce at this year s agric expo follow reg for the event,neutral
hello i made a transfer of naira on at about with ref no from,neutral
if you want me too to commend you for a job well done speed the process of my own,neutral
you guys are a bunch of fraudsters i ve been trying to reach out to you and you have not deem it,negative
pls check your dm for my response as well thx,neutral
what sort of wickedness is this how long will i have to wait to get my money back you don t give mon,negative
bts no citibank bts no allianz em em,neutral
not happening,neutral
is a crappy and shitty bank i swear useless bank,negative
okay since this is trending here s myhoarsewispererstory hoarse wisperer is a marketing guy who s worked with exxon,neutral
muslim group alleges religious discrimination by citibank,neutral
my brothers in the struggle i greet you o,negative
remember when this happened probably not since the lamestream media is in the tank for the democrats sheriff joe and tim,neutral
dear come to rescue see what kankia branch has done to my account thanks,neutral
how far not gotten my reversal soft reminder pls,neutral
what s happening i can t make withdrawal or transfer,negative
i m a final year student of pharmacy yesterday morning by got a string of alerts from almost all the mone,neutral
teller at citibank nigeria limited,neutral
i sent a dm pls its urgent,neutral
i did a transaction on tuesday that failed i was promised money would be refunded in hours i h,negative
we re glad to have hosted you all yesterday,neutral
opening a zenith bank account is as simple as ever now zenithaccountwithzeronaira,positive 
before gtbank decided on they wanted and even curious about what it takes to set up a ussd code listen,neutral
mrs sodiya is a yrs old woman who diagnosed with end stage kidney disease we seek help from dear nigerians to please help,neutral
good morning twitter so i had k in firstbank account as at yesterday only for me to wake up to meeting this from,negative
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
still available lmfaoooooo,neutral
today is the th working day i was debited through pos no reversal can someone help out please,negative
why do your branches try so hard to shatter your image right now we re in front of the firstbank bra,negative
help i got an award at london sch of econs for msc but it only covers tuition living costs i ve not been able to raise vi,neutral
wow this shows how efficient is towards their customer,neutral
i made transaction my pm today till now i haven t seen the airtime but i was debited i m lost fix it please,negative
hello kindly check your dm cc,neutral
do you think we deserve some support to keep doing what we are doing please do nominate us for this,neutral
st perre island at seychelles,neutral
try out the new firstmobile app from first bank,neutral
discover exclusive privileges and unparalleled benefits of citi credit cards and citi ready credit apply now or fi,neutral
you can send me b day message but you won t reverse my money ehn ehn,negative
this is happening to all wema bank customers,neutral
a transfer was made from first bank into my access bank account since friday and the transfer was suc,neutral
congratulations to our newest gold associates who through their tireless effort of creating awareness have earn,neutral
i have a gift for you,neutral
why can t i use my freaking account,neutral
hi pls confirm your biz info united bank for africa iganmu on our site is up to date,neutral
zenith bank man city gtbank liverpool access chelsea tottenham uba arsenal,neutral
why on earth am i charged naira for sms alerts charges did i use first bank for instant messages,negative
number ubaafricaday,neutral
its shows that you are not emotionally fit for your job what is this guy still doing in,neutral
you shall forever be blessed once you just this pls help a brother win don t stroll pass this without retweeting,neutral
remember flybe s collapse has nothing to do with brexit also nothing to do with brexit thomas cook sony flybmi,neutral
is headed back to ft lauderdale beach park on and cardmembers have access to citipresale ticket,neutral
people don t know how awkward they look when they wear sunglasses indoors,neutral
its over hours now and i m yet to see neither my top up nor,negative
fresh like new uk used apple iphone is currently available price gb is n gb is n,neutral
that is cuz people like and who should be high employer of labour are busy sa,neutral
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
comot naija fucking people,negative
dear just confirmed that the transaction was not successful kindly revert to this,negative
pls reply you dm,neutral
call gtbank customer care number,neutral
oroboghene do you have a bank app that could be your answer access to your phone means access to your mails w,neutral
after you ask me to hold on yesterday counting into today being hrs you sent a dm to state cle,neutral
i was debited wrongly after using your atm is more than hrs now and my money is yet to be returned w,negative
i was debited on the th of through pos dispense error the account number is please do the needful asap,negative
twitter i really need your help i need k to win this nk giveaway from mazi ibe i really need,neutral
congratulations to the tor tiv seyi for winning the head of house task we can t wait for you to see the heritage,neutral
fyi and the office of minister of communications is unaware of this development and has,neutral
he shouldn t be defrauded at all bro,neutral
sho mo age mi what s stopping you from getting what you want age people s perception or what is it ko ma,neutral
lol when did you become an activist bro,neutral
please i have paid my school fees in the year and my receipt got lost so can you retrieve my recei,neutral
you see this december it s parte after parte with more jaiye jaiye coming your way oya watch the v,neutral
lol fcmb dey promote japaa ltd,negative
you ve started delaying again it s over an hour now,negative
it s just days to the commencement of the lagos amateur open golf championship the tournament this year,neutral
safe trip to makurdi have prepared a warm welcome ahead of your arrival in the food basket of th,neutral
please a refund from paypal is yet to reflect in my account after hrs please what is the cause of the delay,negative
i am ready to go to any length to make sure you provide at least a picture from the atm withdrawal in the early hours,negative
hello just made a payment and i need d reference number pls how do i get hold of it,neutral
please i used pos to pay for a service yeaterday the transaction was declined but i was debited i,negative
i am a decent citizen doing a decent job i called your customer care and they claimed there s no id on my,neutral
i m good fam been a while hope you re fine,neutral
happeningnow i really appreciate uba this is a great institution now i m going to open an account immediately mrs oyede,positive 
whether or not they declare profit you need to understand that the bank will onl,neutral
does this make us all bons because we want to be bons sweettalk,neutral
just read about how you bounced back from your unsuccessful first public speech at citibank love it,neutral
my pleasure ma am,positive 
it is worse when a bank i have been banking with for a long time and their staff can,negative
its a reminder that am sending concerning the deducted from my account on trying to,negative
is taking his alter ego tour to the us in cardmembers can now purchase citipresale tickets to see him li,neutral
just became a follower my luck will shine when the old followers have benefitted,neutral
so the koko of the matter is that the more you transact with your verve card the higher your chances to w,neutral
thank you for your swift response,positive 
hello i honestly don t know what is going on i m received funds yesterday only to get an alert toda,neutral
yes we are saying the same thing now,neutral
respond to my complain it s more than hrs now,negative
useless bank so unreliable,negative
have they called you to investigate and ask questions as regards this what s the update,neutral
but wait oo i have been sending a direct message how many times,negative
please don t let me go and cause a scene in your nearest branch i ve sent more than mails reg,negative
lucky no happy birthday my bank,neutral
why don t you tell daddy to stop stealing from our military and instead use that money for,neutral
i hope you people will refund my money before this year runs out,negative
pos transaction error of k on the th of october at a fuel station in ibadan but yet to be reversed,negative
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
we are giving away six s starboyfest tickets to followers today here s how to win follow us this,neutral
i don t receive any response from your team,neutral
real festival of lights in our lives is when s is passed by senate to end yrs of indentured servitude s s,neutral
lol patapeezy dey sleep,neutral
kindly open your dm,neutral
what happened,neutral
your service really sucks transferred k since friday you debited me and still yet you ve not credited the recei,negative
charge me for using ussd code to perform any transaction if i do not h,negative
ever since merged with diamond bank it s been one issue or the other with their network you can nev,negative
been on hold for minutes trying to get to your contact staff i almost know the whole lyrics of the song,negative
the flexxsummerparty is coming up live this friday amp its gonna be fun its featuring your favorite celebr,neutral
me when someone says you need money to open a account heh heh heh zenithaccountwithzeronaira,neutral
michael beirut told me to shut up in an initial meeting i drew the citibank logo on a napkin and walked out paula scher one o,neutral
do everything with leo do everything with united bank for africa,positive 
trdny for trd s latest power lunch katiebrenzel sat down with halstead s diane ramirez citibank s sari rosenbe,neutral
no need for dm my people will contact you,neutral
here is the reference id ccm given to me since rd may you stated that refund will be m,neutral
since has declared today july st as nicecommentday today we are to show kindness with words and appreciate,neutral
hi fcmb customer care can i have the correct swift code for inward remittances for usd please,neutral
to pick their calls and the transaction was just and honestly i don t even have a penny in my,neutral
please for the love of god unfreeze my account it s over weeks now still no p,negative
so this is how you have been stealing my money for sms alert charges for what and times,negative
hello thank you for contacting us kindly send a direct message to us with details o,neutral
please to inform you that my complaint was eventually resolved this afternoon by,positive 
kudos to the department of architecture obafemi awolowo university and o you wanna know why they have made,neutral
please why was my money not reversed i did a transfer to a account there was a network,negative
catch me live at the aspire music fest this saturday see you there cc,neutral
so i m proposing wizkid fans states tour for since can t go around the states we the fa,neutral
happy birthday and i wish you all the best,neutral
my name is obeske akinboye i have a problem with my atm card is not generating otp,negative
malcolm gladwell was right suicide is conttagious,neutral
something big is about to happen looks like we re finally getting back the shows we can all watch this is a huge one,positive 
so i need a new account i already have gtbank and access which bank will you suggest,neutral
if you want your children to be a trust fund baby do this is signing on interested parents now,neutral
pls check your dm again with regards to your reply there,neutral
philippine court refuses to legalise gay marriage saynotoxenophobia shoprite tuesdaythoughts obasanjo,neutral
that guy knows the woman there is no way he wouldn t and he got her atm card details,neutral
olowoayo is giving back to the society by performing for the less privileged children at the bloom party on the th of,neutral
twitter i really need your help i need k to win this nk giveaway from mazi ibe i really need,neutral
today make it days up till now my money is not reverse yet why now,negative
let s go to the beach copalagos is back it s time to soak in the sun sea and soccer give yourself an unforg,neutral
i was debited on my account without payment kindly refund my asap,negative
i tried withdrawing from the atm on thursday a and i was debited without payment and the first bank,negative
it s ubaat giveaway amp we re giving out ubaprepaidcards pre loaded with cash gift bags airtime amp data to win pick a,neutral
you re in big trouble,negative
heritage bank what delays you diane and elozonam is your spoken word plug they will modify the person,neutral
your banking standard,neutral
how is the weekend if you re yet to sign up for edu see the link here registration is,neutral
i did an erroneous transfered via to daniel new style of uba who shared same act no,neutral
piece of advice to everyone any account that has the bulk of your savings shouldn t have a debit card under any circumstance,neutral
firstbank till date i haven t gotten my money back for both transactions what is going on here i,negative
since the days of intercontinental bank i have been using not even a birthday message or anything to c,neutral
i soak you into the divine heavenly yeast rise ohhhhh arise and resemble your owner in jesus name,neutral
government should create jobs but government should create the kinds of jobs that create other jobs cc,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
thdec ubabirthday,neutral
justiceforadetutu this is late miss nofisat adetutu ibrahim a staff of she was gruesomely murdered last we,negative
it s ubaat giveaway amp we re giving out ubaprepaidcards pre loaded with cash gift bags airtime amp data to win pick a,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
i ve tried recharging twice via internet banking kept deducting my money but not giving me recharge,negative
you ll sleep there,neutral
with the growing challenges of passing the ielts exam this free ielts masterclass which covers all the aspects req,neutral
institutional banking over years firstbank has built a formidable deposit gathering machine bringing excellen,positive 
is set to take some vendors from nigeria to the world with this ubamarketplace all vendors should make the sm,neutral
we don t want to encourage people writing cvs we want to encourage people to say what they can do and their goal must be de,neutral
bts no citibank bts no allianz em em,neutral
kindly reply my complaints asap pls,negative
the sum of was deducted illegally from my account on the th may account number,negative
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
it s the weekend if you re planning to go shopping today here are a few tips to help you have the best shopping ex,neutral
thank you so much sam you guys at boa have already been incredibly helpful on this and it s still in,positive 
please can you please explain why i have opened a new account upgraded to vvip for the redtv rave and st,neutral
we are partying like never before at the ubamarketplace with,neutral
thanks you re great,positive 
